task:0 doing I/O,1705928525810825794,1705928525828175197,17.34900
task:0 waiting I/O,1705928525827821990,1705928525827824688,0.00200
task:1 doing I/O,1705928525811264618,1705928525828510300,17.24500
task:1 waiting I/O,1705928525828175621,1705928525828175957,0.00000
task:10 doing I/O,1705928525815641591,1705928525832194585,16.55200
task:10 waiting I/O,1705928525831755045,1705928525831755812,0.00000
task:11 doing I/O,1705928525816194053,1705928525832657206,16.46300
task:11 waiting I/O,1705928525832195006,1705928525832195318,0.00000
task:12 doing I/O,1705928525816765892,1705928525833094436,16.32800
task:12 waiting I/O,1705928525832657500,1705928525832657856,0.00000
task:13 doing I/O,1705928525817328972,1705928525833546115,16.21700
task:13 waiting I/O,1705928525833094997,1705928525833095336,0.00000
task:14 doing I/O,1705928525817976957,1705928525833995982,16.01900
task:14 waiting I/O,1705928525833546456,1705928525833546794,0.00000
task:15 doing I/O,1705928525818552436,1705928525834435837,15.88300
task:15 waiting I/O,1705928525833996428,1705928525833997033,0.00000
task:16 doing I/O,1705928525819092449,1705928525834865884,15.77300
task:16 waiting I/O,1705928525834436148,1705928525834436469,0.00000
task:17 doing I/O,1705928525819645125,1705928525835347345,15.70200
task:17 waiting I/O,1705928525834866199,1705928525834866511,0.00000
task:18 doing I/O,1705928525820196015,1705928525835838505,15.64200
task:18 waiting I/O,1705928525835347646,1705928525835348203,0.00000
task:19 doing I/O,1705928525820745900,1705928525836284645,15.53800
task:19 waiting I/O,1705928525835838929,1705928525835839327,0.00000
task:2 doing I/O,1705928525811683103,1705928525828854986,17.17100
task:2 waiting I/O,1705928525828510770,1705928525828511391,0.00000
task:20 doing I/O,1705928525821289016,1705928525836713104,15.42400
task:20 waiting I/O,1705928525836284984,1705928525836285298,0.00000
task:21 doing I/O,1705928525821832180,1705928525837143473,15.31100
task:21 waiting I/O,1705928525836713867,1705928525836716942,0.00300
task:22 doing I/O,1705928525822374033,1705928525837606483,15.23200
task:22 waiting I/O,1705928525837143850,1705928525837144225,0.00000
task:23 doing I/O,1705928525822927469,1705928525838044607,15.11700
task:23 waiting I/O,1705928525837606828,1705928525837607193,0.00000
task:24 doing I/O,1705928525823464423,1705928525838481604,15.01700
task:24 waiting I/O,1705928525838045021,1705928525838045498,0.00000
task:25 doing I/O,1705928525824020798,1705928525838912114,14.89100
task:25 waiting I/O,1705928525838481994,1705928525838482317,0.00000
task:26 doing I/O,1705928525824554761,1705928525839351257,14.79600
task:26 waiting I/O,1705928525838912556,1705928525838913116,0.00000
task:27 doing I/O,1705928525825098077,1705928525839783377,14.68500
task:27 waiting I/O,1705928525839351605,1705928525839351926,0.00000
task:28 doing I/O,1705928525825633203,1705928525840226472,14.59300
task:28 waiting I/O,1705928525839783729,1705928525839784123,0.00000
task:29 doing I/O,1705928525826184326,1705928525840658323,14.47300
task:29 waiting I/O,1705928525840227105,1705928525840227457,0.00000
task:3 doing I/O,1705928525812161578,1705928525829207732,17.04600
task:3 waiting I/O,1705928525828855443,1705928525828855743,0.00000
task:30 doing I/O,1705928525826721773,1705928525841092521,14.37000
task:30 waiting I/O,1705928525840658901,1705928525840659499,0.00000
task:31 doing I/O,1705928525827251972,1705928525841541994,14.29000
task:31 waiting I/O,1705928525841092909,1705928525841093215,0.00000
task:4 doing I/O,1705928525812605324,1705928525829615464,17.01000
task:4 waiting I/O,1705928525829208189,1705928525829208453,0.00000
task:5 doing I/O,1705928525813075523,1705928525830058766,16.98300
task:5 waiting I/O,1705928525829616246,1705928525829616519,0.00000
task:6 doing I/O,1705928525813567797,1705928525830485697,16.91700
task:6 waiting I/O,1705928525830059090,1705928525830059337,0.00000
task:7 doing I/O,1705928525814083634,1705928525830874908,16.79100
task:7 waiting I/O,1705928525830486083,1705928525830486335,0.00000
task:8 doing I/O,1705928525814572065,1705928525831295455,16.72300
task:8 waiting I/O,1705928525830875289,1705928525830875537,0.00000
task:9 doing I/O,1705928525815081950,1705928525831754393,16.67200
task:9 waiting I/O,1705928525831295764,1705928525831296036,0.00000
